Cement brand,Specific Weight of cement,Dry Specific Weight of fine aggregate,Fineness Module of fine aggregate,Dry Specific Weight of Coarse Aggregate,Fineness Module of coarse aggregate,Nominal Maximum Size,Concrete Strength at 28 days,Slump,Cement Weight,Fine Aggregate Weight,Coarse Aggregate Weight,Water Weight
YURA IP,2810,2399,2.57,2418.5,6.344,0.75,350,3.5,436,608,1000,205
YURA IP,2810,2399,2.57,2418.5,6.344,0.75,186,3,326.43,517.16,1206.17,205
YURA IP,2810,2399,2.57,2418.5,6.344,0.75,262,3,367.12,473.38,1217.71,205
YURA IP,2810,2467.5,2.66,2700,6.75,0.75,291,2.25,367.38,663.65,1045.07,205
YURA IP,2810,2467.5,2.66,2700,6.75,0.75,359,2.625,439.91,599.5,1045.07,205
WARI TIPO I,2950,2467.5,2.66,2700,6.75,0.75,389,2.5,367.38,674.67,1045.07,205
WARI TIPO I,2950,2467.5,2.66,2700,6.75,0.75,483,2.375,439.91,599.5,1045.07,205
YURA IP,2810,2600,2.94,2412,7.45,0.75,237.36,4.5,326,573,1013,205
YURA IP,2810,2600,2.94,2412,7.45,0.75,253.14,4,367.12,536.73,1012.88,205
YURA IP,2810,2600,2.94,2412,7.45,0.75,337.42,2.5,440,472,1013,205
YURA IP,2810,2520,2.66,2750,6.75,0.75,260,2.5,326.43,735.4807506,1012.179807,205
YURA IP,2810,2520,2.66,2750,6.75,0.75,331,2.3,367.12,699.5163475,1012.179807,205
YURA IP,2810,2520,2.66,2750,6.75,0.75,392,2,439.9,635.1325208,1012.159872,205
YURA IP,2810,2520,2.66,2750,6.75,0.75,257,2.3,326.43,677.1522538,1075.769959,205
YURA IP,2810,2520,2.66,2750,6.75,0.75,327,2.3,367.12,633.2366028,1084.441344,205
YURA IP,2810,2520,2.66,2750,6.75,0.75,389,2.1,439.91,555.890888,1098.614572,205
YURA IP,2850,2340,2.383,2718,7.566,1,217.23,4.03,307.32,653.51,1100.49,193
YURA IP,2850,2340,2.383,2718,7.566,1,269.78,3.53,345.63,622.05,1100.49,193
YURA IP,2850,2340,2.383,2718,7.566,1,327.81,2.47,414.16,565.79,1100.49,193
YURA IP,2850,2340,2.383,2718,7.566,1,224.18,4.13,313.69,654.18,1082.76,197
YURA IP,2850,2340,2.383,2718,7.566,1,272.86,3.47,352.79,612.35,1094.07,197
YURA IP,2850,2340,2.383,2718,7.566,1,340.33,2.33,422.75,540.44,1110.87,197
YURA IP,2850,2340,2.383,2718,7.566,1,210.09,4.3,307.32,682.58,1066.72,193
YURA IP,2850,2340,2.383,2718,7.566,1,254.3,3.73,345.63,649.66,1068.42,193
YURA IP,2850,2340,2.383,2718,7.566,1,316.33,2.72,414.16,588.71,1073.87,193
YURA IP,2850,2340,2.383,2718,7.566,1,235.48,3.6,318.56,645.3,1151.52,198.79
YURA IP,2850,2340,2.383,2718,7.566,1,284.89,3.27,362.39,631.11,1126.2,198.79
YURA IP,2850,2340,2.383,2718,7.566,1,320.09,2.8,425.013,610.84,1090.03,198.79
YURA IP,2850,2340,2.383,2718,7.566,1,171.12,4.8,318.56,572.43,1236.17,198.79
YURA IP,2850,2340,2.383,2718,7.566,1,229.13,3.97,362.39,571.9,1194.97,198.79
YURA IP,2850,2340,2.383,2718,7.566,1,350.42,2.32,425.01,571.15,1136.13,198.79
YURA IP,2850,2340,2.383,2718,7.566,1,202.97,2.93,338.47,880.49,757.64,211.21
YURA IP,2850,2340,2.383,2718,7.566,1,238.28,2.73,385.04,809.56,795.61,211.21
YURA IP,2850,2340,2.383,2718,7.566,1,351.61,2.57,451.57,708.23,849.85,211.21
YURA IP,2850,2340,2.383,2718,7.566,1,254.57,3.4,336.98,706.94,975.66,205.69
YURA IP,2850,2340,2.383,2718,7.566,1,261.84,3.35,374.12,687.57,948.93,210.77
YURA IP,2850,2340,2.383,2718,7.566,1,310.42,3.22,447.91,644.76,889.84,224.91
YURA IP,2850,2340,2.383,2718,7.566,1,244.42,3.43,328.13,860.16,889.39,197.71
YURA IP,2850,2340,2.383,2718,7.566,1,310.82,2.87,399.18,818.76,846.56,206.86
YURA IP,2850,2340,2.383,2718,7.566,1,381.11,2.03,525.51,748.52,773.94,220.41
